Marca,Modelo,Año,Precio,Combustible,Transmisión,Kilometraje
Kia,Sonet,2021,15000.0,Gasolina,Automática,58000
Toyota,Corolla Cross,2022,25500.0,Gasolina-Hibrido,Automática - Secuencial,27800
Toyota,Rav4,2019,29500.0,Gasolina-Hibrido,Automática - Secuencial,62945
Mazda,Cx-5,2024,30990.0,Gasolina,Automática,8560
Toyota,Corolla Cross,2023,24500.0,Hibrido,Automática - Secuencial,39054
Chevrolet,Tracker,2023,17990.0,Gasolina,Automática,47251
Toyota,Corolla Cross,2023,24990.0,Gasolina,Automática - Secuencial,21684
Toyota,Rav4,2025,29890.0,Gasolina,Mecánica,11140
Mitsubishi,Asx,2019,17500.0,Gasolina,Automática - Secuencial,40319
Subaru,Impreza,2014,11990.0,Gasolina,Automática - Secuencial,110209
Changan,New Van,2023,9690.0,Gas GLP,Mecánica,28005
Mitsubishi,Asx,2020,17500.0,Gasolina,Automática - Secuencial,52171
Toyota,Corolla Cross,2022,24500.0,Gasolina-Hibrido,Automática - Secuencial,35388
Bmw,X3,2017,24500.0,Gasolina,Automática,49800
Audi,Q7,2017,28200.0,Gasolina,Automática,106543
Hyundai,I20,2024,17990.0,Gasolina,Automática - Secuencial,16
Kia,Sportage,2023,31990.0,Gas GLP,Automática,24244
Kia,Picanto,2024,12290.0,Gasolina,Automática,16286
Toyota,Corolla Cross,2024,27500.0,Gasolina,Automática - Secuencial,27558
Ford,Ecosport,2020,15900.0,Gasolina,Automática,63038
Toyota,Corolla Cross,2023,29500.0,Hibrido,Automática - Secuencial,20822
Toyota,Rush,2023,19000.0,Gas GLP,Automática,23480
Toyota,Rav4,2022,33000.0,Hibrido,Automática - Secuencial,83466
Ford,Escape,2020,17900.0,Gasolina,Automática,47400
Bmw,118I,2017,16300.0,Gasolina,Automática,74096
Hyundai,Creta Grand,2024,23490.0,Gasolina,Automática,14
Toyota,Hilux,2022,37500.0,Diesel,Automática,90688
Audi,A4,2018,22200.0,Gasolina,Automática,32540
Chevrolet,Onix Activ,2019,8300.0,Gasolina,Mecánica,91200
Bmw,418I,2020,23000.0,Gasolina,Automática,40176
Nissan,Urvan,2023,29990.0,Diesel,Mecánica,182691
Toyota,Corolla Cross,2023,22900.0,Gasolina,Automática - Secuencial,24000
Suzuki,Swift,2024,12500.0,Gasolina-Hibrido,Mecánica,18600
Kia,Soluto,2022,12500.0,Gas GLP,Mecánica,48008
Ford,Ranger,2021,18800.0,Diesel,Mecánica,131791
Mini,Hatch 3Dr,2024,32991.0,ElÃ©ctrico,Automática,3916
Bmw,120I,2016,15900.0,Gasolina,Automática - Secuencial,92650
Mitsubishi,Outlander,2020,21000.0,Gasolina,Automática,83880
Renault,Logan,2020,9000.0,Gas GLP,Mecánica,128192
Chery,Tiggo 7 Pro,2023,16990.0,Gasolina,Automática,32000
Kia,Cerato,2022,17990.0,Gasolina,Automática,59800
Jeep,Renegade,2022,17990.0,Gasolina,Mecánica,36000
Mitsubishi,Asx,2019,15990.0,Gasolina,Mecánica,49000
Toyota,Prius,2018,12000.0,Gasolina-Hibrido,Automática,92000
Mercedes Benz,Sprinter,2012,19900.0,Diesel,Mecánica,226777
Jaguar,Xe,2018,19500.0,Gasolina,Automática - Secuencial,55500
Toyota,Corolla Cross,2024,25990.0,Gasolina,Automática - Secuencial,17064
Hyundai,Tucson,2023,26800.0,Gasolina,Automática - Secuencial,15000
Geely,Coolray,2022,17000.0,Gasolina,Automática - Secuencial,14000
Hyundai,Creta Grand,2025,26990.0,Gasolina,Automática,21
Ford,Bronco Sport,2022,31500.0,Gasolina,Automática - Secuencial,7200
Volkswagen,Jetta Gli,2018,16900.0,Gasolina,Automática,68000
Mitsubishi,Outlander,2022,20200.0,Gasolina,Mecánica,27500
Subaru,Crosstrek,2024,25700.0,Gasolina,Mecánica,24500
Jetour,Traveller,2025,35000.0,Gasolina,Automática - Secuencial,1100
Hyundai,Palisade,2022,40990.0,Gasolina,Automática,16652
Volvo,Ex30,2025,45990.0,ElÃ©ctrico,Automática,300
Nissan,Tiida,2015,8500.0,Gasolina,Mecánica,85000
Audi,A3 Sedan,2024,31990.0,Gasolina,Automática,6131
Subaru,Evoltis,2023,52000.0,Gasolina,Automática,190
Bmw,X1 20I,2022,39000.0,Gasolina,Automática,27331
Audi,Q5,2016,19900.0,Gasolina,Automática - Secuencial,87000
Porsche,Boxster Gts,2020,89900.0,Gasolina,Automática,21174
Kia,Seltos,2023,19900.0,Gasolina,Automática - Secuencial,29920
Jeep,Gladiator,2021,47900.0,Gasolina,Automática,84565
Ford,Ranger Raptor,2023,56900.0,Gasolina,Automática,20522
Toyota,4Runner,2011,28900.0,Gasolina,Automática,125162
Audi,A4,2017,17900.0,Gasolina,Automática,62730
Bmw,X1,2018,22900.0,Gasolina,Automática,51025
Subaru,Crosstrek,2024,31500.0,Gasolina,Automática,1700
Mercedes Benz,A 200,2020,20900.0,Gasolina,Automática,84462
Mercedes Benz,Glc 200,2021,35900.0,Gasolina,Automática,51106
Honda,Cr-V,2018,21500.0,Gasolina,Automática,49043
Hyundai,I20,2024,16500.0,Gasolina,Automática,9393
Audi,Q8,2023,89000.0,Gasolina-Hibrido,Automática - Secuencial,2570
Bmw,M235I,2017,29990.0,Gasolina,Automática - Secuencial,17460
Honda,Ridgeline,2018,20900.0,Gasolina,Automática - Secuencial,123008
Toyota,Hilux,2017,28500.0,Diesel,Automática,115870
Ford,Explorer,2016,23900.0,Gasolina,Automática - Secuencial,88816
Toyota,Corolla Cross,2023,23900.0,Gasolina,Automática,24900
Jetour,X70 Plus,2024,20900.0,Gasolina,Automática - Secuencial,20739
Nissan,Frontier,2023,24900.0,Diesel,Mecánica,87000
Volkswagen,T-Cross,2024,22900.0,Gasolina,Automática,3500
Ford,Explorer,2019,33900.0,Gasolina,Automática - Secuencial,44900
Volkswagen,Teramont,2021,35900.0,Gasolina,Automática - Secuencial,34500
Nissan,X-Trail,2023,27490.0,Gasolina,Automática - Secuencial,20640
Kia,Seltos,2023,19300.0,Gasolina,Automática,31802
Subaru,Forester,2019,20900.0,Gasolina,Automática,66500
Bmw,X5,2017,29900.0,Gasolina,Automática,69000
Honda,Odyssey,2018,22900.0,Gasolina,Automática - Secuencial,80600
Volkswagen,Jetta,2020,17900.0,Gasolina,Automática,32000
Chery,Tiggo 7 Pro,2023,17900.0,Gasolina,Automática,35462
Subaru,Forester,2024,34900.0,Gasolina-Hibrido,Automática,8500
Suzuki,Vitara,2022,16900.0,Dual,Automática,49886
Land Rover,Range Rover Sport,2024,179990.0,Gasolina-Hibrido,Automática,12000
Ssangyong,Korando,2024,19900.0,Gasolina,Mecánica,57
Bmw,740I,2012,24900.0,Gasolina,Automática,38542
Lexus,Nx 300H,2022,42900.0,Gasolina-Hibrido,Automática,60064
Bmw,520-I,2014,17900.0,Gasolina,Automática,63000
Mercedes Benz,Gle 63 S Amg,2023,169900.0,Gasolina-Hibrido,Automática - Secuencial,97
Hyundai,Tucson,2023,24900.0,Gasolina,Automática - Secuencial,44000
Land Rover,Range Rover Sport,2014,53900.0,Gasolina,Automática - Secuencial,30001
Land Rover,Range Rover Sport,2017,85900.0,Gasolina,Automática - Secuencial,20000
Dodge,Durango,2018,34500.0,Gasolina,Automática,230
Bmw,520-I,2016,18900.0,Gasolina,Automática - Secuencial,43264
Hyundai,Santa Fe,2019,23900.0,Gasolina,Automática - Secuencial,43200
Kia,Sonet,2023,17900.0,Gasolina,Automática - Secuencial,10000
Land Rover,Discovery,2019,48900.0,Gasolina,Automática - Secuencial,50500
Bmw,418I,2021,24900.0,Gasolina,Automática - Secuencial,45700
Volkswagen,Touareg,2013,16900.0,Gasolina,Automática - Secuencial,127000
Volkswagen,Gol,2015,8900.0,Gasolina,Automática,38000
Mitsubishi,Asx,2019,14900.0,Gasolina,Mecánica,53000
Jetour,X70 Plus,2023,22900.0,Gasolina,Automática,16000
Ford,Territory,2023,25900.0,Gasolina,Automática,19582
Ford,Ecosport,2020,14200.0,Gasolina,Automática,33000
Ford,Ranger Raptor,2024,59900.0,Gasolina,Automática - Secuencial,4500
Nissan,Qashqai,2016,14900.0,Gasolina,Automática,61306
Honda,Pilot,2020,23900.0,Gasolina,Automática - Secuencial,86095
Land Rover,Discovery Sport,2016,22990.0,Gasolina,Automática,54182
Mercedes Benz,Gla 45 Amg,2018,39900.0,Gasolina,Automática - Secuencial,40000
Bmw,M5,2020,89900.0,Gasolina,Automática - Secuencial,19965
Mini,Hatch Jcw,2024,44900.0,Gasolina,Automática - Secuencial,5558
Kia,Picanto,2018,8900.0,Gasolina,Mecánica,56000
Volkswagen,Tiguan Allspace,2018,24900.0,Gasolina,Automática - Secuencial,30500
Volkswagen,Polo,2024,14900.0,Gasolina,Mecánica,120
Mitsubishi,Eclipse Cross,2022,19900.0,Gasolina,Automática,43121
Nissan,Kicks,2019,16900.0,Gasolina,Automática,25000
Mercedes Benz,C-200,2020,31900.0,Gasolina,Automática,44000
Nissan,Kicks,2021,17300.0,Gasolina,Automática,53100
Kia,Picanto,2024,12290.0,Gasolina,Automática,22578
Volkswagen,Jetta,2019,14900.0,Gasolina,Mecánica,34000
Volkswagen,Jetta,2023,18900.0,Gasolina,Mecánica,11000
Volkswagen,Transporter,2014,11900.0,Diesel,Mecánica,161711
Hyundai,Tucson,2020,22900.0,Gasolina,Automática - Secuencial,59500
Volkswagen,Taos,2022,24900.0,Gasolina,Automática - Secuencial,27600
Jeep,Grand Cherokee,2019,21500.0,Gasolina,Automática,108950
Volkswagen,Jetta Gli,2018,16900.0,Gasolina,Automática - Secuencial,89000
Kia,Cerato,2013,10900.0,Gasolina,Automática - Secuencial,96540
Haval,Jolion,2025,20000.0,Gasolina,Automática,5895
Audi,Q3,2022,40900.0,Gasolina,Automática - Secuencial,17500
Bmw,X6,2019,49900.0,Gasolina,Automática - Secuencial,11000
Jac,T6,2023,10900.0,Diesel,Mecánica,83000
Bmw,320I,2016,18900.0,Gasolina,Automática - Secuencial,61574
Audi,Q8,2019,52900.0,Gasolina-Hibrido,Automática - Secuencial,46000
Audi,Q8,2021,69900.0,Gasolina-Hibrido,Automática - Secuencial,26000
Audi,Q8,2023,81900.0,Gasolina,Automática - Secuencial,11000
Porsche,Cayenne,2017,38900.0,Gasolina,Automática,41270
Volkswagen,T-Cross,2023,18500.0,Gasolina,Mecánica,8000
Bmw,X3 20I,2015,15900.0,Gasolina,Automática,98000
Toyota,Corolla Cross,2022,27000.0,Gasolina,Automática,44658
Haval,H6,2024,25000.0,Gasolina,Automática,332
Haval,Jolion,2025,18000.0,Dual,Automática,2127
Toyota,Land Cruiser Prado,2022,54900.0,Gasolina,Automática - Secuencial,47000
Volkswagen,Jetta,2022,16900.0,Gasolina,Mecánica,16200
Honda,Cr-V,2023,34900.0,Gasolina,Automática - Secuencial,34500
Nissan,Frontier,2023,22900.0,Diesel,Mecánica,120000
Volkswagen,Nivus,2023,22900.0,Gasolina,Automática,14000
Audi,Q7,2021,56900.0,Gasolina,Automática - Secuencial,20500
Audi,A4,2021,28900.0,Gasolina,Automática - Secuencial,39000
Audi,A4,2021,29900.0,Gasolina,Automática - Secuencial,39000
Porsche,911 Carrera S,2023,195000.0,Gasolina,Automática,4600
Mazda,Cx-30,2025,26000.0,Gasolina,Automática,6585
Changan,Cs55,2022,14000.0,Gasolina,Mecánica,36423
Mazda,Cx-30,2025,28000.0,Gasolina,Automática,2322
Great Wall,Poer,2024,25000.0,Diesel,Automática,11021
Citroen,C5 Aircross,2023,21000.0,Gasolina,Automática,6602
Subaru,Impreza Sport,2017,15900.0,Gasolina,Automática - Secuencial,58700
Bmw,218I Gran Coupe,2022,25900.0,Gasolina,Automática - Secuencial,29900
Bmw,520-I,2016,21900.0,Gasolina,Automática - Secuencial,46790
Honda,Wr-V,2020,14900.0,Gasolina,Automática - Secuencial,51000
Subaru,Impreza,2020,13900.0,Gasolina,Automática,42400
Volkswagen,Crossfox,2019,10900.0,Gasolina,Mecánica,48300
Porsche,Cayman,2014,51900.0,Gasolina,Automática,26800
Porsche,Cayenne Coupe,2024,99900.0,Gasolina,Automática,2000
Porsche,Taycan,2024,117000.0,ElÃ©ctrico,Automática,31
Volkswagen,Jetta,2019,14900.0,Gasolina,Mecánica,52000
Suzuki,Baleno,2024,14500.0,Gasolina,Mecánica,10135
Audi,Q5,2015,19900.0,Gasolina,Automática - Secuencial,53500
Ram,V700,2020,6900.0,Dual,Mecánica,71646
Volkswagen,Passat,2012,10900.0,Gasolina,Automática - Secuencial,102000
Audi,Q2,2021,26900.0,Gasolina,Automática - Secuencial,27000
Porsche,911 Carrera,2018,95000.0,Gasolina,Automática,14670
Ford,Ranger,2022,28900.0,Diesel,Mecánica,27000
Citroen,C-4,2024,18500.0,Gasolina,Automática,14
Renault,Kardian,2025,20000.0,Gasolina,Automática,2975
Ford,Ranger,2019,18900.0,Diesel,Mecánica,145000
Chevrolet,Captiva,2017,11900.0,Gas GLP,Mecánica,115000
Ford,Territory,2022,17900.0,Gasolina,Automática - Secuencial,54000
Nissan,Kicks,2022,16990.0,Gasolina,Mecánica,41000
Citroen,C-4,2024,18500.0,Gasolina,Automática,17
Mazda,Cx-90,2025,44000.0,Hibrido,Automática,2878
Ssangyong,Torres,2024,27900.0,Gasolina,Automática,113
Chevrolet,Suburban,2017,27900.0,Gasolina,Automática - Secuencial,60000
Suzuki,Jimny,2024,18900.0,Gasolina,Mecánica,54432
Hyundai,Kona,2023,24990.0,ElÃ©ctrico,Automática,18000
Volvo,C40,2024,60990.0,ElÃ©ctrico,Automática,6500
Hyundai,Tucson,2024,29990.0,Gasolina,Mecánica,15
Land Rover,Range Rover Sport,2018,57990.0,Gasolina,Automática,28395
Volvo,Xc40,2024,49990.0,ElÃ©ctrico,Automática,3405
Volvo,Xc40,2022,38990.0,Gasolina-Hibrido,Automática,25200
Mitsubishi,Outlander,2022,22500.0,Gasolina,Mecánica,29147
Mini,Hatch 5Dr,2020,20990.0,Gasolina,Automática,42210
Land Rover,Range Rover Sport,2017,39990.0,Gasolina,Automática,72959
Volvo,Xc-60,2016,23990.0,Gasolina,Automática,43532
Volvo,Xc40,2024,49990.0,ElÃ©ctrico,Automática,2312
Toyota,Corolla Cross,2023,27500.0,Hibrido,Automática - Secuencial,27476
Volvo,Xc90,2024,71990.0,Hibrido,Automática,6000
Jac,Js8,2024,18500.0,Gasolina,Automática,14810
Subaru,Forester,2023,36000.0,Gasolina,Automática,9400
Chevrolet,Captiva,2022,15000.0,Gasolina,Mecánica,36928
Toyota,Corolla Cross,2023,20500.0,Gasolina,Automática - Secuencial,40198
Toyota,Corolla,2022,19000.0,Gasolina,Automática,44609
Toyota,Agya,2023,11500.0,Gasolina,Automática,14662
Toyota,Hilux,2023,34000.0,Diesel,Mecánica,75847
Hyundai,Santa Fe,2022,29000.0,Gasolina,Automática,35864
Toyota,Hilux,2024,42000.0,Diesel,Mecánica,50761
Chevrolet,Captiva,2021,16000.0,Gasolina,Automática,77044
Toyota,Yaris Cross,2024,22500.0,Gasolina-Hibrido,Automática,10626
Toyota,Corolla Cross,2024,28000.0,Hibrido,Automática - Secuencial,6356
Toyota,Fortuner,2020,34000.0,Gasolina,Automática,75677
Toyota,Fortuner,2023,34500.0,Gasolina,Mecánica,17999
Toyota,Rav4,2024,39000.0,Hibrido,Automática - Secuencial,18167
Toyota,Yaris,2017,12000.0,Gasolina,Automática,50711
Toyota,Corolla Cross,2024,28000.0,Gasolina-Hibrido,Automática - Secuencial,5963
Volkswagen,Jetta,2019,16000.0,Gasolina,Mecánica,83830
Toyota,Corolla Cross,2023,26000.0,Hibrido,Automática,45492
Toyota,Hilux,2023,43000.0,Diesel,Automática,41621
Toyota,Corolla Cross,2023,25000.0,Hibrido,Automática - Secuencial,31261
Toyota,Corolla Cross,2023,26000.0,Gasolina,Automática,26456
Toyota,Corolla Cross,2023,26000.0,Gasolina,Automática - Secuencial,19658
Peugeot,2008,2023,17000.0,Gas GLP,Automática,7564
Mazda,Cx-5,2020,21000.0,Gasolina,Automática,55013
Toyota,Hilux,2022,35000.0,Diesel,Mecánica,64110
Toyota,Rush,2025,23000.0,Gasolina,Automática,4309
Volkswagen,Amarok,2021,26000.0,Diesel,Mecánica,88168
Chevrolet,Colorado,2023,19000.0,Diesel,Mecánica,21393
Lexus,Ux 250H,2021,27000.0,Hibrido,Automática - Secuencial,49785
Nissan,Versa,2022,12200.0,Gasolina,Automática,49640
Toyota,Rav4,2025,33000.0,Gasolina,Automática - Secuencial,10858
Nissan,X-Trail,2019,18900.0,Gasolina,Automática,102337
Mazda,Cx-30,2022,19000.0,Gasolina,Mecánica,70227
Bmw,X3 20I,2020,36000.0,Gasolina,Automática,42190
Subaru,Evoltis,2021,36000.0,Gasolina,Automática,38230
Changan,Unit-T,2023,20000.0,Gasolina,Automática,40520
Ford,Territory,2024,26490.0,Gasolina,Automática,29691
Lexus,Nx 300H,2021,26900.0,Gasolina-Hibrido,Automática,78000
Jeep,Grand Cherokee Laredo,2021,27900.0,Gasolina,Automática - Secuencial,54000
Chevrolet,Silverado,2023,48000.0,Gasolina,Automática,73000
Chevrolet,Traverse,2018,27000.0,Gasolina,Automática,71586
Mitsubishi,Montero Sport,2019,26900.0,Gasolina,Automática - Secuencial,86000
Nissan,Kicks,2023,19900.0,Gasolina,Automática,33000
Chevrolet,Captiva,2022,15900.0,Gasolina,Automática - Secuencial,55000
Hyundai,Tucson,2015,13900.0,Gasolina,Automática - Secuencial,110000
Nissan,X-Trail,2019,19900.0,Gasolina,Automática,56088
Porsche,Cayenne,2016,31990.0,Gasolina,Automática - Secuencial,58590
Mercedes Benz,C-250,2013,18500.0,Gasolina,Automática - Secuencial,32860
Hyundai,Tucson,2023,23990.0,Gasolina,Automática,20194
Nissan,X-Trail,2023,24900.0,Gasolina,Automática,31755
Volkswagen,Taos,2023,27900.0,Gasolina,Automática,28400
Mercedes Benz,Gls 450,2020,77500.0,Gasolina,Automática - Secuencial,30000
Mazda,Cx-5,2017,17500.0,Gasolina,Mecánica,85300
Mitsubishi,Outlander,2018,16900.0,Gasolina,Automática - Secuencial,60000
Geely,Azkarra,2023,21500.0,Hibrido,Automática,16922
Nissan,Sentra,2018,14000.0,Gasolina,Automática - Secuencial,26128
Toyota,Rush,2023,20000.0,Gasolina,Mecánica,25589
Toyota,Yaris Cross,2025,24000.0,Hibrido,Automática,6024
Hyundai,Creta Grand,2025,26990.0,Gasolina,Automática,25
Kia,Seltos,2022,18990.0,Gasolina,Automática,48000
Jeep,Renegade,2023,20990.0,Gasolina,Automática,36000
Nissan,Versa Drive,2022,14990.0,Gasolina,Automática,48600
Ford,Escape Hibrida,2022,31000.0,Hibrido,Automática,34740
Hyundai,Tucson,2022,22500.0,Gas GLP,Automática,57266
Hyundai,Santa Fe,2024,37000.0,Gasolina,Automática,8397
Mazda,Cx-9,2020,28400.0,Gasolina,Automática,66200
Ford,Maverick,2022,24900.0,Gasolina,Automática,33830
Hyundai,Santa Fe,2025,37000.0,Gasolina,Automática,14800
Ford,Explorer,2018,28900.0,Gasolina,Automática,59933
Ford,Ecosport,2019,15900.0,Gasolina,Automática,49463
Kia,Sportage,2022,29500.0,Gasolina,Automática,63010
Ford,Ecosport,2022,17900.0,Gasolina,Automática,22812
Ford,Escape,2022,26500.0,Gasolina,Automática,35971
Toyota,C-Hr,2021,23000.0,Hibrido,Automática - Secuencial,85239
Jeep,Renegade,2023,21700.0,Gasolina,Automática,36626
Ford,Ecosport,2015,12400.0,Gasolina,Mecánica,45000
Suzuki,New Vitara,2023,19500.0,Gasolina,Automática,25000
Volkswagen,Amarok,2021,31500.0,Diesel,Automática,53265
Ford,Ecosport,2020,15900.0,Gasolina,Automática,66899
Ford,Ecosport,2022,18000.0,Gasolina,Automática,27384
Ford,Edge Titanium,2018,19500.0,Gasolina,Automática,83976
Kia,Sportage,2015,15500.0,Gasolina,Automática,88756
Toyota,Corolla Cross,2022,23900.0,Gasolina,Automática,33038
Jeep,Renegade,2017,17900.0,Gasolina,Automática,42198
Kia,Sportage,2023,25500.0,Gasolina,Automática,56880
Fiat,Pulse,2025,21500.0,Gasolina,Automática,7500
Ford,Maverick,2023,25500.0,Gasolina,Automática,2547
Toyota,Corolla Cross,2023,24500.0,Gasolina,Automática,19019
Jeep,Compass,2018,17900.0,Gasolina,Automática,71364
Ford,Ecosport,2014,11500.0,Gasolina,Mecánica,36524
Mazda,3,2020,16000.0,Gasolina,Automática,52079
Ford,Territory,2024,25000.0,Gasolina,Automática,11276
Ford,Territory,2023,19900.0,Gasolina,Automática - Secuencial,19000
Nissan,Kicks,2023,18500.0,Gasolina,Automática,29211
Hyundai,Venue,2023,18990.0,Gasolina,Automática - Secuencial,32000
Hyundai,Creta,2023,21990.0,Gasolina,Mecánica,50000
Ford,Explorer,2021,32900.0,Gasolina,Automática - Secuencial,66000
Honda,Hr-V,2022,18900.0,Gasolina,Automática,31000
Mazda,Cx-3,2020,15990.0,Gasolina,Mecánica,69000
Bmw,M2 Coupe,2019,60900.0,Gasolina,Automática - Secuencial,14000
Haval,All New H6,2020,12800.0,Gasolina,Automática,74000
Ford,Escape,2023,31900.0,Gasolina-Hibrido,Automática,11000
Chery,Tiggo 8 Pro Hibrido,2023,30990.0,Gasolina-Hibrido,Automática,17050
Peugeot,3008,2018,20990.0,Gasolina,Automática,52900
Toyota,Rush,2021,19990.0,Gas GNV,Automática,55000
Subaru,Xv,2022,21990.0,Dual,Automática,23000
Nissan,Kicks,2022,18990.0,Gasolina,Automática,33000
Geely,Okavango,2023,19490.0,Gasolina,Automática,39
Hyundai,Creta,2023,19990.0,Gas GLP,Mecánica,15300
Peugeot,3008,2018,16990.0,Gasolina,Automática,70000
Honda,Hr-V,2021,19990.0,Gasolina,Automática,19900
Chevrolet,Tracker,2021,15990.0,Gasolina,Mecánica,30000
Subaru,Xv,2019,19990.0,Gasolina,Automática,56500
Suzuki,Vitara,2021,17990.0,Gasolina,Automática,48000
Nissan,Versa,2023,17990.0,Gasolina,Automática,32500
Hyundai,Elantra,2022,17990.0,Gas GNV,Automática,51000
Hyundai,Creta,2024,21990.0,Gas GLP,Mecánica,8500
